#Colony Purified Collection Plate,Colony Purified Collection Well
30,F08
41,C04
1,H01
11,H04
1,F02
60A,F07
16,B11
7,B04
57,E08
57,F08
52,B06
52,C06
52,G05
52,H05
56,E11
56,F11
16,E01
7,B08
44,F08
42,C01
21,A01
42,E03
22,B01
36,H09
17,A06
44,A08
33,F01
2,C01
41,G03
33,C11
23,F02
58B,G05
30,A04
27,F04
27,B09
17,H08
36,A10
69,A01
18,A04
7,G12
18,A11
30,B01
40,A01
30,F02
18,A12
42,H08
27,D04
30,A12
19,A05
30,B12
38,A10
27,C08
16,H03
59,G02
59,H02
59,G04
59,H04
50,E10
41,G01
38,A02
7,B06
7,C10
47A,A01
47A,B01
27,F02
19,G11
19,D08
41,B09
7,F12
33,E12
57,E01
57,D01
13,F01
41,E08
31,D10
59,C02
59,D02
19,A11
17,C08
76,G01
76,H01
45,C01
66,A06
66,H05
27,D10
18,E04
38,F11
37,B04
38,C01
41,A09
27,C02
41,F01
30,H03
30,C05
41,D07
30,E12
27,H05
19,C08
38,H09
58B,E12
41,F09
27,A11
17,C10
44,C02
41,B02
44,B03
17,F02
33,A12
19,C11
33,G12
27,A03
72,E10
77,E08
2,F02
73,E10
44,D03
72,E08
77,E10
37,B01
38,E11
27,E06
7,B12
52,E08
52,E09
62,E01
62,F01
17,H12
38,B12
49,E04
19,A07
33,F02
41,G12
36,D12
18,B09
41,G07
36,F02
38,H07
55,D06
20,A11
30,G12
7,C07
36,D11
41,B10
20,B12
27,A05
19,B04
42,H11
68,A01
41,C12
31,H01
47A,E01
47A,F01
41,A12
30,H01
52,E03
33,F11
27,F12
70A,B12
41,H01
38,B11
41,A08
47B,H12
72,E11
18,F02
41,A05
19,A08
41,F11
47A,A03
47A,G01
47A,H01
30,A11
57,A01
73,C01
38,A07
30,A07
19,E12
16,A11
30,B05
36,F11
44,B10
21,A02
44,C09
36,C11
27,B11
17,G11
20,A09
66,A01
66,G01
66,H01
58B,C11
7,H11
55,F06
19,A06
36,B04
37,A01
17,B03
30,C01
44,G04
33,D12
19,B03
7,C11
33,A05
40,A02
30,H07
33,D11
27,E03
30,D01
27,B03
52,E10
36,B06
19,B06
7,B11
41,A04
19,C09
58B,B10
18,E12
38,F03
19,B10
38,F07
19,B11
27,C01
17,A11
19,C03
77,E11
30,F11
27,H10
7,D06
41,D12
44,A06
78,A02
30,A01
45,A02
30,E01
27,A08
40,B01
19,B05
33,B12
18,D12
44,E01
45,B01
64B,F08
64B,G08
33,A07
44,A09
30,B02
38,H10
20,A12
27,H03
58B,B11
41,E12
27,D03
17,B11
18,A06
22,F01
52,E05
42,H12
27,D11
71,G01
71,H01
41,F12
33,F12
27,E02
49,C08
58B,B09
33,C12
18,C11
18,B11
41,F08
41,H12
16,A09
30,H08
33,B09
30,G03
18,A10
30,A09
33,B07
3,C01
27,G04
38,H11
30,C07
18,A05
75,A01
41,H06
31,A01
52,E07
27,B12
7,C12
33,H09
22,F02
38,G10
7,B07
43,H01
17,H10
27,B04
33,H08
30,D12
30,A03
36,D08
52,E06
19,B02
78,G01
41,B07
41,G05
30,G11
27,A04
38,C11
33,A09
78,B01
78,C01
19,C07
53A,H01
30,A02
47A,C01
47A,D01
30,A05
19,B08
27,G02
41,B06
18,G11
61A,A01
61A,A02
61A,C01
61A,D01
61A,E01
61A,G01
61A,H01
27,G05
7,F11
42,A04
58B,G12
26,F02
27,D01
78,D01
19,C06
16,A08
30,H04
27,H11
7,A06
20,H11
30,F12
45,H01
30,A06
30,E10
20,A10
41,H04
27,G10
17,D12
41,B05
2,G01
41,G11
20,C10